Card	Time1	Time2	Time3
612500	1.5021e+006	1.5135e+006	1.521e+006
615000	1.4974e+006	1.5278e+006	1.4875e+006
617500	1.5314e+006	1.5518e+006	1.5113e+006
620000	1.558e+006	1.5574e+006	1.5589e+006
622500	1.5436e+006	1.5051e+006	1.5604e+006
625000	1.5344e+006	1.5593e+006	1.5288e+006
627500	1.5692e+006	1.551e+006	1.5257e+006
630000	1.5258e+006	1.5201e+006	1.5491e+006
632500	1.5793e+006	1.5402e+006	1.5453e+006
635000	1.5718e+006	1.5604e+006	1.594e+006
637500	1.5789e+006	1.5517e+006	1.5558e+006
640000	1.5906e+006	1.6052e+006	1.5608e+006
642500	1.6045e+006	1.5837e+006	1.5897e+006
645000	1.5686e+006	1.5722e+006	1.6073e+006
647500	1.6019e+006	1.6156e+006	1.6029e+006
650000	1.6278e+006	1.6293e+006	1.5854e+006
652500	1.6336e+006	1.5902e+006	1.6211e+006
655000	1.6254e+006	1.587e+006	1.6048e+006
657500	1.6372e+006	1.6382e+006	1.7547e+006
660000	1.5966e+006	1.6099e+006	1.5949e+006
662500	1.6528e+006	1.6384e+006	1.6544e+006
665000	1.6688e+006	2.0707e+006	1.6505e+006
667500	1.631e+006	1.9413e+006	1.6222e+006
670000	1.6622e+006	1.8982e+006	1.6646e+006
672500	1.6572e+006	1.8824e+006	1.6482e+006
675000	1.6405e+006	1.6941e+006	1.6668e+006
677500	1.6439e+006	1.7385e+006	1.6929e+006
680000	1.6989e+006	1.9019e+006	1.6799e+006
682500	1.7052e+006	1.6619e+006	1.6817e+006
685000	1.7004e+006	1.7305e+006	1.8636e+006
687500	1.6696e+006	1.6844e+006	1.9355e+006
690000	1.6892e+006	1.8103e+006	1.88e+006
692500	1.6767e+006	1.6773e+006	1.6937e+006
695000	1.6855e+006	1.7187e+006	1.7515e+006
697500	1.7256e+006	1.7133e+006	1.7343e+006
700000	1.746e+006	1.6992e+006	1.8713e+006
702500	1.7303e+006	1.7244e+006	1.8244e+006
705000	1.734e+006	1.7622e+006	1.7818e+006
707500	1.7359e+006	1.7202e+006	2.1588e+006
710000	2.1435e+006	1.7776e+006	1.7326e+006
712500	1.7524e+006	1.7288e+006	1.7732e+006
715000	1.7593e+006	1.7845e+006	1.7826e+006
717500	1.7454e+006	1.7931e+006	1.7822e+006
720000	1.764e+006	1.7991e+006	1.7578e+006
722500	1.7939e+006	1.7585e+006	1.7833e+006
725000	1.7713e+006	2.1779e+006	1.7973e+006
727500	1.8444e+006	1.7915e+006	1.7654e+006
730000	1.8248e+006	2.9238e+006	1.7906e+006
732500	1.8261e+006	2.6741e+006	1.7759e+006
735000	1.8217e+006	2.2661e+006	1.8205e+006
737500	1.799e+006	2.795e+006	1.7897e+006
740000	1.8477e+006	2.4253e+006	1.8326e+006
742500	1.7996e+006	2.0897e+006	1.8394e+006
745000	1.8114e+006	2.6645e+006	1.8451e+006
747500	1.8648e+006	1.8508e+006	1.8642e+006
750000	1.8549e+006	1.9651e+006	1.8598e+006
752500	1.8591e+006	2.1993e+006	1.8593e+006
755000	1.8987e+006	1.8642e+006	1.8416e+006
757500	1.8378e+006	1.9074e+006	1.8361e+006
760000	1.9342e+006	2.5268e+006	1.9513e+006
