Card	Time1	Time2	Time3
932500	4.0903e+006	4.0495e+006	4.0516e+006
935000	4.2131e+006	4.0606e+006	4.1057e+006
937500	4.1208e+006	4.0702e+006	4.0775e+006
940000	4.108e+006	4.0916e+006	4.0852e+006
942500	4.426e+006	4.1062e+006	4.1034e+006
945000	4.4573e+006	4.1024e+006	4.111e+006
947500	4.1158e+006	4.3115e+006	4.1167e+006
950000	4.129e+006	4.1341e+006	4.125e+006
952500	4.141e+006	4.1458e+006	4.1362e+006
955000	4.2454e+006	4.1481e+006	4.1464e+006
957500	4.1587e+006	4.2437e+006	4.1636e+006
960000	4.1692e+006	4.1737e+006	4.1716e+006
962500	4.1817e+006	4.1917e+006	4.1796e+006
965000	4.2086e+006	4.2025e+006	4.1918e+006
967500	4.2057e+006	4.206e+006	4.2065e+006
970000	4.2128e+006	4.219e+006	4.2137e+006
972500	4.2306e+006	4.2299e+006	4.2232e+006
975000	4.2423e+006	4.2348e+006	4.2399e+006
977500	4.2883e+006	4.2433e+006	4.2462e+006
980000	4.2561e+006	4.2673e+006	4.2621e+006
982500	4.2659e+006	4.2936e+006	4.2698e+006
985000	4.2814e+006	4.2917e+006	4.2791e+006
987500	4.3082e+006	4.3615e+006	6.4578e+006
990000	4.3034e+006	4.3161e+006	4.3328e+006
992500	4.3107e+006	4.3098e+006	5.1166e+006
995000	4.3282e+006	4.3451e+006	4.3332e+006
997500	4.3408e+006	4.3379e+006	4.3342e+006
1000000	4.3571e+006	7.0184e+006	4.3425e+006
1002500	4.358e+006	4.3553e+006	4.3675e+006
1005000	4.3825e+006	4.4003e+006	4.4826e+006
1007500	4.3814e+006	4.3795e+006	4.9673e+006
1010000	4.4058e+006	4.3939e+006	4.3904e+006
1012500	4.4021e+006	4.4038e+006	4.3978e+006
1015000	4.8255e+006	4.422e+006	4.4105e+006
1017500	4.435e+006	4.4177e+006	4.4276e+006
1020000	4.4379e+006	4.5208e+006	4.4381e+006
1022500	4.4497e+006	5.3121e+006	4.4439e+006
1025000	4.6566e+006	5.0564e+006	4.4571e+006
1027500	4.4724e+006	4.4769e+006	4.5145e+006
1030000	4.5015e+006	6.4402e+006	4.4869e+006
1032500	4.4856e+006	4.4836e+006	4.491e+006
1035000	4.5612e+006	4.4991e+006	4.4965e+006
1037500	4.9812e+006	4.5184e+006	4.5086e+006
1040000	4.534e+006	4.5223e+006	4.5282e+006
1042500	4.5321e+006	4.5279e+006	4.7045e+006
1045000	4.5939e+006	4.5835e+006	5.1541e+006
1047500	4.5645e+006	4.7675e+006	9.5371e+006
1050000	4.5704e+006	4.577e+006	6.2241e+006
1052500	4.5821e+006	4.5783e+006	6.9458e+006
1055000	4.591e+006	4.5959e+006	4.5843e+006
1057500	4.5978e+006	4.5956e+006	4.5936e+006
1060000	4.6191e+006	4.605e+006	4.7155e+006
1062500	4.6219e+006	4.6195e+006	4.6333e+006
1065000	4.6442e+006	4.8945e+006	5.0273e+006
1067500	4.6374e+006	4.6391e+006	4.6533e+006
1070000	4.6587e+006	4.6499e+006	4.6455e+006
1072500	4.6588e+006	4.927e+006	4.659e+006
1075000	4.6735e+006	4.6886e+006	4.6954e+006
1077500	4.6831e+006	4.6853e+006	4.6879e+006
1080000	4.6976e+006	4.7099e+006	4.703e+006
1082500	4.7156e+006	4.7129e+006	4.7091e+006
1085000	4.7198e+006	4.7278e+006	4.7129e+006
1087500	4.7232e+006	4.7282e+006	4.7218e+006
1090000	5.4886e+006	4.7363e+006	4.7414e+006
1092500	5.3224e+006	4.7618e+006	4.7478e+006
1095000	4.8843e+006	4.7648e+006	4.7601e+006
1097500	5.3808e+006	4.7725e+006	4.7694e+006
1100000	4.7792e+006	4.7888e+006	4.7763e+006
1102500	4.7931e+006	4.8074e+006	4.807e+006
1105000	4.8075e+006	5.4423e+006	4.8424e+006
1107500	4.8136e+006	4.8891e+006	4.8186e+006
1110000	4.8377e+006	4.8226e+006	4.9328e+006
1112500	4.8411e+006	4.8361e+006	4.8564e+006
1115000	4.943e+006	4.8444e+006	4.842e+006
1117500	4.8601e+006	4.8792e+006	4.8577e+006
1120000	4.869e+006	4.8634e+006	4.8734e+006
1122500	4.8833e+006	4.8788e+006	4.8753e+006
1125000	4.8996e+006	4.8904e+006	4.8892e+006
1127500	4.9044e+006	4.8973e+006	4.9083e+006
1130000	4.9094e+006	4.9405e+006	4.9116e+006
1132500	4.9312e+006	4.9381e+006	4.9234e+006
1135000	4.9353e+006	5.8165e+006	5.9367e+006
1137500	4.9448e+006	4.9531e+006	4.9571e+006
1140000	4.9559e+006	4.9529e+006	4.955e+006
1142500	4.9798e+006	4.9739e+006	4.9707e+006
1145000	5.004e+006	4.9764e+006	4.9753e+006
1147500	4.9927e+006	5.0004e+006	5.0193e+006
1150000	5.0048e+006	4.9994e+006	4.9998e+006
1152500	5.0222e+006	5.0096e+006	5.0123e+006
1155000	5.2832e+006	5.0223e+006	5.0179e+006
1157500	5.095e+006	5.0273e+006	5.0299e+006
1160000	5.044e+006	5.9634e+006	5.0394e+006
1162500	5.0488e+006	5.6019e+006	5.0497e+006
1165000	5.0635e+006	5.0665e+006	5.5288e+006
1167500	5.0982e+006	1.02013e+007	5.0745e+006
1170000	5.0895e+006	5.0871e+006	5.0866e+006
1172500	5.1034e+006	5.0974e+006	5.0996e+006
1175000	5.1084e+006	5.2541e+006	5.142e+006
1177500	5.1292e+006	5.1163e+006	5.1175e+006
1180000	5.1443e+006	5.1602e+006	5.8645e+006
1182500	5.1514e+006	5.3272e+006	5.7737e+006
1185000	5.1552e+006	5.1575e+006	5.2755e+006
1187500	5.1625e+006	5.1689e+006	5.3396e+006
1190000	5.6591e+006	5.1685e+006	5.169e+006
1192500	5.1886e+006	5.1907e+006	5.1916e+006
1195000	5.1911e+006	5.2008e+006	5.2121e+006
1197500	5.2141e+006	5.2084e+006	5.2106e+006
1200000	5.2289e+006	5.2172e+006	5.2152e+006
1202500	5.2392e+006	5.276e+006	5.2281e+006
1205000	5.2369e+006	5.2387e+006	5.248e+006
1207500	5.2551e+006	5.2538e+006	5.2769e+006
1210000	5.2569e+006	5.3986e+006	5.2657e+006
1212500	5.2756e+006	5.2766e+006	5.2652e+006
1215000	5.2836e+006	5.2913e+006	5.2819e+006
1217500	5.2914e+006	5.2974e+006	5.2936e+006
1220000	6.3108e+006	5.3135e+006	5.3047e+006
1222500	5.9047e+006	5.3286e+006	5.312e+006
1225000	5.4027e+006	5.3375e+006	5.5233e+006
1227500	5.7912e+006	5.3355e+006	5.3355e+006
1230000	7.1455e+006	5.3534e+006	5.3448e+006
1232500	5.3727e+006	5.357e+006	5.3949e+006
1235000	5.3712e+006	5.3684e+006	5.3651e+006
1237500	5.3807e+006	5.3766e+006	5.3808e+006
1240000	5.398e+006	5.3862e+006	5.3969e+006
1242500	5.412e+006	5.4123e+006	5.4038e+006
1245000	5.4129e+006	5.416e+006	5.4436e+006
1247500	5.433e+006	5.4252e+006	5.421e+006
1250000	5.4478e+006	5.4292e+006	5.435e+006
1252500	5.4406e+006	5.4418e+006	5.4439e+006
1255000	5.4569e+006	5.4544e+006	5.4601e+006
1257500	5.4771e+006	5.4751e+006	5.4691e+006
1260000	5.4827e+006	6.0098e+006	5.477e+006
1262500	5.4846e+006	5.5032e+006	5.4836e+006
1265000	5.5056e+006	5.5058e+006	5.5199e+006
1267500	5.507e+006	5.5084e+006	6.0399e+006
1270000	5.5561e+006	5.5227e+006	5.5257e+006
1272500	5.7599e+006	5.7466e+006	5.5377e+006
1275000	5.5424e+006	5.5366e+006	5.5551e+006
1277500	5.7617e+006	6.4885e+006	5.5594e+006
1280000	5.9704e+006	6.2281e+006	5.5648e+006
1282500	5.579e+006	6.3934e+006	5.6141e+006
1285000	6.456e+006	5.5845e+006	5.5836e+006
1287500	5.6048e+006	6.0769e+006	5.599e+006
1290000	5.6283e+006	5.6456e+006	5.6141e+006
