Card;Time1;Time2;Time3;Time4;Time5;Time6
3230000;2100;2100;2700;3200;2400;2200
3235000;2300;2500;1900;2600;2200;2500
3240000;2100;2100;2400;2900;3200;1900
3245000;2600;2400;2000;2700;3000;2100
3250000;2500;2300;2600;2800;2600;2900
3255000;2100;2500;3200;3100;1900;2800
3260000;1700;2100;2500;2700;1800;2500
3265000;2000;2800;5000;2700;2300;2100
3270000;2000;2200;2800;3200;2400;2600
3275000;2100;2100;2300;3100;2200;2400
3280000;2400;2100;2200;2800;2600;2300
3285000;2100;2100;2200;2600;2700;2200
3290000;2800;2400;2400;2700;2800;2300
3295000;2000;2900;2400;3100;2400;3200
3300000;2400;2500;2400;3300;2200;2300
3305000;2500;2300;2100;5000;2700;2300
3310000;2500;2400;3300;3000;2200;2700
3315000;2700;1700;2300;2600;2000;2500
3320000;2000;2300;2300;2600;2700;2700
3325000;2300;2400;1900;3000;2500;2100
3330000;2300;2600;2400;2800;2200;2500
3335000;1900;2800;2600;3300;2300;2400
3340000;2400;2800;3000;2800;2700;2400
3345000;2000;2600;1900;3000;2900;2300
3350000;2200;4800;2100;3100;3400;2400
3355000;2000;3000;2700;2800;3000;2500
3360000;2400;2200;2000;3000;3000;2600
3365000;1900;2300;2400;2700;3200;2100
3370000;2500;2300;1600;3200;2900;2100
3375000;2300;3000;2100;3200;2900;2300
3380000;2000;2400;2600;2800;2400;2100
3385000;1800;2300;1900;5800;3200;2300
3390000;1900;3500;2200;2800;3000;2700
3395000;2400;3100;2100;2800;2400;2500
3400000;2100;2200;2000;2800;2300;2500
3405000;2700;2000;2400;2700;2000;2000
3410000;2300;2600;2500;2600;2100;2300
3415000;2700;2800;2600;3100;2200;2000
3420000;2000;3100;2300;2600;1900;2000
3425000;2700;2900;1800;2700;2700;2400
3430000;2000;1800;2600;2700;2500;2000
3435000;3100;2000;2500;3600;2900;2600
3440000;3100;2600;2100;2900;2400;2500
3445000;2100;2900;2600;2800;2500;2200
3450000;1800;2900;2500;2600;2600;2200
3455000;2200;2100;2400;2600;2900;2400
3460000;2800;3000;2300;3300;2600;2500
3465000;2400;2000;1700;2900;2200;2000
3470000;2600;2800;3400;3200;2500;2400
3475000;2100;2500;2400;3000;3200;3000
3480000;2500;2300;4900;2800;2900;2600
3485000;2400;2700;3000;3100;2600;2200
3490000;2300;3100;2600;2600;2500;2500
3495000;2200;2200;2500;2800;2600;2600
3500000;2400;2000;2200;2700;2800;2100
3505000;2400;2100;2400;2600;2300;2300
3510000;2400;2100;2000;2500;2400;2200
3515000;2800;2500;4900;3000;2800;2600
3520000;2300;2300;1900;3000;2900;2300
3525000;2300;2800;2100;3300;3200;2500
3530000;2500;2100;2100;3100;2500;2600
3535000;2800;2600;2300;2600;2700;3100
3540000;2800;2100;2200;3100;2300;2200
3545000;2500;2200;2800;3000;2700;1900
3550000;3000;2800;2600;4100;3100;2000
3555000;2200;2500;2200;2800;2500;2200
3560000;3100;4900;2300;3400;3100;2500
3565000;2800;2700;3100;3100;3000;2600
3570000;2100;3000;2400;2900;2000;2600
3575000;2500;2800;2400;2400;2700;2400
3580000;2100;2100;2400;2600;2800;2400
3585000;2900;2700;2800;3200;2700;2400
3590000;2200;2400;1800;2900;2600;2500
3595000;1800;2200;2000;2700;2500;2800
3600000;2500;2000;2400;2700;2200;2400
3605000;2300;2100;2300;2900;2400;2600
3610000;2700;2200;2300;2600;2300;2000
3615000;2500;3100;2600;3200;2900;2100
3620000;2300;2300;2000;3500;2000;2500
3625000;2700;2000;2700;2800;2200;2500
3630000;2100;2500;3100;3100;2300;2500
3635000;2900;2400;2400;3000;2600;2900
3640000;2500;2600;2200;3200;2700;2600
3645000;2300;2200;2600;3100;2300;3000
3650000;2500;2200;2200;2800;2700;2900
3655000;1700;2800;2200;2900;2200;2500
3660000;2200;2700;2500;3000;2400;2200
3665000;2100;2300;2500;3000;2500;2100
3670000;2300;2100;2300;2500;2400;2200
3675000;2200;2100;2300;2900;2300;2800
3680000;2400;2700;2300;2900;2500;3100
3685000;2000;2300;3500;3300;2200;2300
3690000;2400;3100;2400;3000;2700;2600
3695000;2400;2200;2100;2400;2700;2200
3700000;2100;2700;2700;2600;2300;2400
3705000;2400;2400;2400;3100;2300;2600
3710000;2900;2500;2900;2700;2400;2600
3715000;2400;2100;2700;2900;2300;3000
3720000;2100;2500;2900;2600;2300;2100
3725000;2500;2800;2400;3000;2100;2600
3730000;2500;2400;2700;2800;3000;2900
3735000;2400;2700;2500;3100;2300;2500
3740000;2100;2100;2200;2500;2500;2300
3745000;2800;2500;2400;3100;2600;2200
3750000;2200;2900;2300;2800;2800;2100
3755000;2500;2400;2200;3200;3000;2500
3760000;4100;3100;2500;2700;2100;2900
3765000;2300;2300;3300;3000;2600;2800
3770000;4800;2300;2700;3000;2000;2300
3775000;3300;2200;2800;2600;2300;2500
3780000;2700;2400;2600;2700;2200;2400
3785000;2700;2400;2500;2700;2000;3100
3790000;2800;2200;2900;2900;2600;2300
3795000;4500;2200;2700;2600;2600;3000
3800000;2800;2600;2700;2600;2400;2300
3805000;2500;2600;2500;2500;2400;2200
3810000;2900;2500;2500;3100;2900;2400
3815000;2100;2200;3000;2600;2800;2600
3820000;2900;3200;3100;2900;2800;2900
3825000;2500;2200;2300;3500;2400;2400
3830000;2800;2600;2500;2700;2400;2700
3835000;2300;2200;2900;2800;2900;2200
3840000;2800;2200;3200;3200;2500;2800
3845000;2800;2300;2600;2700;3300;2100
3850000;2600;2500;2800;2700;2600;2100
3855000;3000;2300;2800;3100;2700;2500
3860000;3000;2400;2400;3200;2400;2400
3865000;2200;2700;2500;2900;2300;2300
3870000;2200;2400;2600;2800;2700;2700
3875000;2100;2200;2400;2700;2500;2500
3880000;2200;2600;2400;3600;2800;2600
3885000;2900;3100;2900;3600;2600;2300
3890000;2400;2600;3300;3600;2300;2800
3895000;2200;2500;4700;3000;2800;2100
3900000;2300;2300;2400;2600;2000;3000
3905000;2500;2500;2400;3200;2500;2200
3910000;2200;2400;2800;3000;2400;2100
3915000;2000;2100;2500;3300;2200;2500
3920000;2600;2300;2100;3700;2300;3000
3925000;2300;2800;2400;2900;2200;3300
3930000;2300;2600;2700;3200;3300;2900
3935000;2500;2700;2500;3800;2300;2700
3940000;2500;2800;2200;2800;2200;2000
3945000;2700;2200;2500;3000;2300;2700
3950000;2000;2200;2200;2600;2700;2800
3955000;2200;2500;1900;2500;2700;2400
3960000;2800;2000;2100;2500;2200;3000
3965000;2800;2500;2800;2800;2300;2500
3970000;2200;3000;2800;2700;2400;2600
3975000;2600;2900;2300;2600;2500;2200
3980000;3100;2400;2400;3600;2200;2000
3985000;2400;2800;3000;3200;2400;3000
3990000;2300;2600;2300;3200;2900;2700
3995000;3100;2000;2500;2700;2600;2500
4000000;2300;2500;2200;2600;2300;2800
